variety,producer,website,description,maturity_months,yield_tons_ha,min_altitude_masl,max_altitude_masl,maturity_category
SC Punda Milia 53,Seed Co,https://seedcogroup.com/ke/fieldcrops/sc-partners/sc-punda-milia-53/,"SC Punda Milia 53 is an early maturing white maize variety with excellent disease tolerance and good standability.
Early maturing white hybrid
Excellent drought tolerance
Good tolerance to Grey Leaf Spot
Very good silage
Good grain texture with good tip cover
Good standability
Yield 38-43 bags (90kg) per acre

- Good standability, Tolerant to grey leaf spot 
- Tolerant to maize streak virus",5-6,8-13,1200.0,1900.0,Very late
Simba 61,Seed Co,https://seedcogroup.com/ke/fieldcrops/sc-partners/sc-simba-61/,"SC Simba 61 is a medium maturing white maize variety. It is a high yielding silage variety with good tolerance to GLS (Grey Leaf Spot).
Medium maturing yellow hybrid
High yield silage variety
Good tolerance to Grey Leaf Spot
Yield 40-45 bags (90kg) per acre

- Tolerant to MSV and GLS",4.5,7-10,1200.0,1800.0,Late
WH301,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Haraka WH301
Variety
Early : Haraka

Agro-Ecological Zone: Tropical low and mid altitudes. 0-1200 masl
Potiential Yield Per HA (MT ): 6.5 - 7 MT/HA, Under good agronomy practices.
Maturity: 90 - 120 Days.
Suitable: Suitable for areas where rainfall regime is 2 -2.5 months. Good tolerance to MSV, GLS and blight. Tolerant to drought and low nitrogen.
Features Semi Flint, heavy grains.

- Tolerant to MSV, GLS and Blight 
- Tolerant to Drought and Low Nitrogen 
- Particularly suitable for green maize",4-5.0,4.6,0.0,1500.0,Late
WH605,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Milima WH605
Variety
Highland Variety

Agro-Ecological Zone: Tropical Highlands. above 1600 masl
Potiential Yield Per HA (MT): 8 - 9 MT/HA Under good agronomy practices.
Maturity: Maturity: 150 - 180 days.
Suitable: Suitable for areas with rainfall regime of 4 - 5 months.
Good Tolerance to MSV, GLS and Blight
Features Semi flint kernel , Good stems , High yielding heavy grains, More bags per acre , large cob size

- Good tolerance to MSV, GLS and Blight 
- Strong Green stems at harvest, use as cattle fodder 
- Good tolerance to low Nitrogen",5-6,6-9,1600.0,2000.0,Very late
WH509,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH509
Variety
Intermediate : Aminika

Agro-Ecological Zone : Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yield Per Per HA (MT): 7 - 7.5 MT/HA Under good agronomy practices.
Maturity: Maturity: 120 -140 days.
Suitable: Suitable for areas where rainfll regime is 3 - 3.5 months.
Good tolerance to MSV, GLS and blight.
Features : High yielder , - Drought tolerant , Semi Flint and heavy grains for flour extraction

- Tolerant to maize streak virus, Grey leafspot and northern leaf blight 
- Tolerant to drought",5-6,6-9,1200.0,1600.0,Very late
WH508,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH508
Variety
Transitional /Late : Aminika

Agro-Ecological Zone: Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yields Per HA (MT): 8 - 9 MT/HA Under good agronomy practices.
Maturity: Maturity: 140 - 160 Days.
Suitable: Suitable for areas where rainfall regime is 3 - 4 months.
Good tolerance to MSV, GLS, blight, Stress and low nitrogen.
Features : Large flint kernel, tolerant to Bird damage & Good for silage

- Tolerant to MSV/GLS and Blight 
- Tolerant to Drought/Low Nitrogen 
- Strong ever Green stems at harvest",5-6,6-9,1200.0,1600.0,Very late
WH507,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH507
Variety
Transitional /Late : Aminika

Eco-Zone: Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yields Per HA (MT): 7 - 8 MT/HA Under good agronomy practices.
Maturity: Maturity: 140 -160 days.
Suitable: Suitable for areas where rainfall regime is 3 - 4 months.
Good tolerance to MSV, GLS and blight.
Features : Clean, Large semi Flint kernel, Strong green stems, can be used as cattle fodder & Good for Roasting

- Tolerant to MSV/GLS and Blight 
- Tolerant to Drought/Low Nitrogen 
- Strong ever Green stems at harvest",5-6,6-9,1200.0,1600.0,Very late
WH505,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH505
Variety
Intermediate : Aminika

Agro-Ecological Zone:: Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yields Per HA (MT): 7 - 8 MT/HA Under good agronomy practices.
Maturity: Maturity: 120 -140 days.
Suitable: Suitable for areas where rainfall regime is 3 - 3.5 months.
Good tolerance to MSV, GLS and blight.
Features : Double cobber, Dent kernel, Drought tolerant , Stress tolerant, Strong green stems used as cattle fodder

- Tolerant to maize streak virus, Grey leafspot and northern leaf blight 
- Green stems at harvest suitable for animal fodder 
- Tolerant low soil nitrogen",4.5-5.5,6-9,1200.0,1600.0,Very late
WH504,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH504
Variety
Intermediate : Aminika.

Agro-Ecological Zone:: Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yields Per HA (MT): 7 - 8 MT/HA Under good agronomy practices.
Maturity: Maturity: 120 -140 days.
Suitable: Suitable for areas where rainfall regime is 2.5 - 3 months.
Features Good tolerance to MSV, GLS and blight.
Features Drought tolerant and dent kernel.
Good for Silage

- Tolerant to maize streak virus, Grey leafspot and northern leaf blight 
- Green stems at harvest suitable for animal fodder 
- Tolerant to drought and low soil nitrogen",4.5-5.5,6-9,1200.0,1600.0,Very late
WH403,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH403
Variety
Intermediate : Aminika.

Agro-Ecological Zone: Tropical low , mid and transitional altitudes. 1200-1600 masl
Potiential Yields Per HA (MT): 6.5 - 7 MT/HA Under good agronomy practices.
Maturity: Maturity: 120 -140 days.
Suitable: Suitable for areas where rainfall regime is 2.5 - 3 months.
Good tolerance to MSV, GLS and Blight.
Features : Dent to semi dent Kernel, Drought tolerant, Good for green maize.

- Tolerant to leaf diseases 
- Green stems at harvest suitable for animal fodder",4.5,5-8,1200.0,1600.0,Late
WH401,Western Seed Co.,https://westernseedcompany.com/home/maizeseed,"
Aminika WH401
Variety
Intermediate : Aminika

Eco-Zone: Mid to high altitude
Potiential Yields Per HA (MT): 7 - 8 MT/HA Under good agronomy practices.
Maturity: Maturity: 120 -140 Days.
Suitable: Suitable for areas with fainfall regime of 3 - 4 months.
Good tolerance to MSV, GLS and Blight.
Features : Semi Flint kernel , Heavy grains , Long cobs, Drought tolerant Good For Roasting

- Tolerant to MSV/GLS and Blight 
- Tolerant to Drought and Low Nitrogen.",4-5,5-7,1600.0,2200.0,Late
H513,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Medium variety; Very sweet tasting; Good stand ability


- Good standability",4-5,6-8,1200.0,1600.0,Late
H516,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Medium to highland variety; Very sweet tasting; Resistant to blight rust and lodging


- Resistant to blight, rust and lodging",4-5,7-9,1200.0,1500.0,Late
H519,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"It has good MSV (Maize Streak Virus) and GLS (Gray Leaf Spot) tolerance; Has good shelling percentage; Has excellent grain quality and good husk cover


- Prolific Resistant to ear rots, rust, grey leaf spot, northern leaf blight, stem and root lodging 
- Semi dent",4-5,6.5,1200.0,1700.0,Late
DH01,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Early and stay green; Tolerant to blight and rust


- Early 
- Stays green",3-4,4-6,900.0,1400.0,Early
DH02,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Suitable for arid and semi-arid areas; Early tolerant to moisture stress and M.S.V


- Early, stays green",3-4,4-6,900.0,1400.0,Early
DH04,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Short drought tolerance; Good husk cover and stand-ability


- Short stature",3-4,5-6,900.0,1500.0,Early
DH08,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Semi-dent; Good stand ability; Tolerant to ear rots


- Good performance in low yielding environments 
- Resistant to stalk lodging, root lodging and ear rots 
- Semi dent",3-4,4.9,900.0,1500.0,Early
H614D,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Highlands variety; Sweet tasting variety; Has good density; Has long storage period; Semi flint; Resistant to GLS and Blight


- Stable over locations and seasons Semi flint",6-9,8-10,1500.0,2100.0,Very late
H628,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Highland variety; Has heavy white grains; High yield, resistant to blight and GLS flint


- Flint",6-8,9-12,1500.0,2100.0,Very late
H629,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"Resistant to lodging; Has good husk cover; Good storage quality; Semi flint; Resistant to GLS and ear rot


- Semi dent",6-8,9-11,1500.0,2100.0,Very late
H6213,Kenya Seed Co.,https://kenyaseed.com/wp-content/uploads/2023/04/THE-SEED-ROUND-UP-MAGAZINE-2ND-EDITION-FINAL-Q2-8.pdf,"High-yielder; Excellent milling qualities; Resistant to lodging, ear rot, rust, G.L.S, stem and leaf blight


- High yield 
- Drought tolerant",6-8,10-15,1600.0,2200.0,Very late
