Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,27. H6213,"H621
3",2002,"Kenya
Seed Co.","Kenya Seed
Co.",1600-2200,6-8,10-15," High yield
 Drought tolerant"
MAIZE,28. H626,H626,1989,"Kenya
Seed Co/
KARI","Kenya Seed
Co/ KARI",1500-2100,6-8,8-10, Flint
MAIZE,"29. PH1(P
wani
Hybrid
)","PH1
(Pwa
ni
Hybri
d)",1989,"Kenya
Seed Co.","Kenya Seed
Co.",1-12000,3-4,5-7," Tolerant to
lodging/strong stalks
 Drought tolerant"
MAIZE,30. DLC1,DLC1,1989,"Kenya
Seed Co/
KARI","Kenya Seed
Co/ KARI",800-1200,2-3,2-4, Flint Very early
MAIZE,"31. PAN
5195","PAN
5195",1995,Pannar,"Pannar
Seeds (K)",1000-1800,4-5,5-6.3," Prolific
 Tolerant to maize
streak virus"
MAIZE,32. H627,H627,1995,"KSC/KARI
.",KSC/KARI.,1500-2100,6-8,9-12, Semi-flint
MAIZE,33. PH 4,PH 4,1995,"Kenya
Seed Co.","Kenya Seed
Co.",1-1200,3-5,6-8," Heat tolerant
 Good standability
 Partial MSV resistance"
MAIZE,34. DH01,DH01,1995,"Kenya
Seed Co.","Kenya Seed
Co.",900-1400,3-4,4-6," Early
 Stays green"
MAIZE,35. H513,H513,1995,"Kenya
Seed Co.","Kenya Seed
Co.",1200-1600,4-5,6-8, Good standability
MAIZE,36. DH02,DH02,1995,"Kenya
Seed Co.","Kenya Seed
Co.",900-1400,3-4,4-6," Early, stays green"
MAIZE,"37. PHB
3253","PHB
3253",1996,"Pioneer
Hybrid","Pioneer
Hybrid,
Zimbabwe",800-1800,4-5,7-9," Wide adaptation,
Good standability"
MAIZE,38. H623,H623,1999,"Kenya
Seed Co.","Kenya Seed
Co.",1200-1700,5-7,7-9," Prolific
 Large dent kernels"
MAIZE,39. H628,H628,1999,"Kenya
Seed Co.","Kenya Seed
Co.",1500 - 2100,6-8,9-12, Flint
MAIZE,"40. KH600
-11D","KH60
0-
11D",2000,KARI,KARI,1500-1800,6-9,7-8," Good standability
 Stable performance"
MAIZE,"41. KSTP
94","KSTP
94",2000,KARI,"KARI
Kakamega",1350-1800,4-5,4-6, Tolerant to Striga
MAIZE,"42. CG414
1","CG41
41",2000,"Monsant
o","Monsanto
(K)",900-1700,4-5,4-7," Earliness Fast dry
down"
MAIZE,43. H629,H629,2000,"Kenya
Seed Co.","Kenya Seed
Co.",1500-2100,6-8,9-11, Semi dent
MAIZE,44. DH03,DH03,2000,"Kenya
Seed Co.","Kenya Seed
Co.",900-1500,3-4,5-6," Stays green
 Good standability"
MAIZE,45. C5051,"C505
1",2000,"Monsant
o","Monsanto K.
Ltd",1000-1800,4-5,5-8," Moderately tolerant
to maize streak virus
 Easy to shell"
MAIZE,"46. PAN
5355","PAN
5355",2000,"Pannar
Seed","Pannar Seed
(K) Ltd",1000-1800,4-5,5-5.9," Moderate MSV
resistance"
MAIZE,47. H515,H515,2000,"Kenya
Seed Co.","Kenya Seed
Co.",1200-1500,4-5,6-8, Lodge resistant
MAIZE,"48. WH
699","WH
699",2002,"Western
Seed
Company","Western
Seed
Company",1700-2200,6-8,7-9, Tolerant to smut
MAIZE,"49. WH
904","WH
904",2002,"Western
Seed
Company","Western
Seed
Company",1000-1700,5-6,6-9," Tolerant to streak
virus"
MAIZE,"50. WS
909","WS
909",2002,"Western
Seed
Company","Western
Seed
Company",0-1500,4-5,6-9, Tolerant to striga
MAIZE,52. H518,H518,2002,"Kenya
Seed
Company","Kenya Seed
Company",1400-1700,4-5,7-9," Resistant to GLS, Rust,
Blight"
MAIZE,"53. KH
600-
17A","KH
600-
17A",2002,KARI,KARI,1600-2300,5-6,7-11, Good standability
MAIZE,"54. KH
600-
18A","KH
600-
18A",2002,KARI,KARI,1600-2300,5-6,8-11," Good disease
tolerance"
MAIZE,"55. PAN
683","PAN
683",2003,"Pannar
Seed
Company","Pannar Seed
Company",2000,6-7,6.9," Late maturity
 Excellent standability
 Excellent tip cover
 Resistant to grey leaf
spot"
MAIZE,"56. PAN
33","PAN
33",2003,"Pannar
Seed
Company","Pannar Seed
Company",800-1800,5-6,5.3, High yielding
MAIZE,"57. WH
502","WH
502",2003,"Western
Seed
Company","Western
Seed
Company",1000-1700,4-5,6-9," Very tolerant to maize
streak virus
 Tolerant to grey
leafspot, northern
leafblight, Striga
 Drought and low soil
nitrogen tolerant."
MAIZE,"58. WH
504","WH
504",2003,"Western
Seed
Company","Western
Seed
Company",1000-2000,4.5-5.5,6-9," Tolerant to maize
streak virus, Grey
leafspot and northern
leaf blight
 Green stems at
harvest suitable for
animal fodder
 Tolerant to drought
and low soil nitrogen"
MAIZE,"59. WH
505","WH
505",2003,"Western
Seed
Company",import requests,500-2100,4.5-5.5,6-9," Tolerant to maize
streak virus, Grey
leafspot and northern
leaf blight
 Green stems at
harvest suitable for
animal fodder
 Tolerant low soil
nitrogen"
MAIZE,"60. WH
509","WH
509",2003,"Western
Seed
Company","Western
Seed
Company",1000-1700,5-6,6-9," Tolerant to maize
streak virus, Grey
leafspot and northern
leaf blight
 Tolerant to drought"
MAIZE,"61. WH
403","WH
403",2003,"Western
Seed
Company","Western
Seed
Company",1000-1500,4.5,5-8," Tolerant to leaf
diseases
 Green stems at
harvest suitable for
animal fodder"
MAIZE,"62. WS
102","WS
102",2003,"Western
Seed
Company","Western
Seed
Company",0-1200,3-3.8,2-3," Tolerant to maize
streak virus, drought
and low soil nitrogen"
MAIZE,"63. WH50
1","WH5
01",2003,"Western
Seed
Company","Western
Seed
Company",1300-1700,5-6,7-9," Suitable for low input
production
 Tolerant to grey
leafspot, maize streak
virus and northern
leafblight"
MAIZE,"64. WH50
1","WH5
01",2003,"Western
Seed
Company","Western
Seed
Company",1300-1700,5-6,7-9," Suitable for low input
production
 Tolerant to grey
leafspot, maize streak
virus and northern
leafblight"
MAIZE,"65. WS
103","WS
103",2003,"Western
Seed
Company","Western
Seed
Company",0-1500,3-4,3-4," Tolerant to maize
streak virus, grey
leafspot, northern
blight, drought and
low soil nitrogen"
MAIZE,66. H519,H519,2003,"Kenya
Seed
Company","Kenya Seed
Company",1200-1700,4-5,6.5," Prolific Resistant to
ear rots, rust, grey
leaf spot, northern
leaf blight, stem and
root lodging
 Semi dent"
MAIZE,67. H520,H520,2003,"Kenya
Seed
Company","Kenya Seed
Company",1400-1700,4-5,4.5," Better resistance to
northern blight, rust,
ear rot, stem and root
lodging
 Semi flint
 Good husk cover"
MAIZE,68. H521,H521,2003,"Kenya
Seed
Company","Kenya Seed
Company",1000-1600,4-5.5,4.5," More tolerant to grey
leafspot, leafblight,
root and stalk lodging
 Semi dent"
MAIZE,69. H522,H522,2003,"Kenya
Seed
Company","Kenya Seed
Company",1200-1600,4-5,6.3," Tolerant to grey leaf
spot, Resistant to ear
rot, root and stalk
lodging
 Semi dent"
MAIZE,70. H523,H523,2003,"Kenya
Seed
Company","Kenya Seed
Company",1200-1600,4-5,6.6," Tolerant to grey
leafspot, Resistant to
root and stalk lodging
 Semi dent"
MAIZE,71. DH 8,DH08,2003,"Kenya
Seed
Company","Kenya Seed
Company",900-1500,3-4,4.9," Good performance in
low yielding
environments
 Resistant to stalk
lodging, root lodging
and ear rots
 Semi dent"
MAIZE,"72. PHB
30G97","PHB
30G9
7",2003,"Pioneer
Hibred
Zimbabw
e","Pioneer
Hibred
Zimbabwe",1200-2000,4-5,6-9," Resistant to grey
leafspot
 Resistant to ear rots
 Tolerant to maize
streak virus
 Good grain quality"
MAIZE,"73. Lagrot
ech
early","Lagro
tech
early",2003,"Lagrotec
h Seed
Company","Lagrotech
Seed
Company",Below 1500,2.7-3.5,2.3," Good ear cover
 Early maturing
 Striga tolerant
 Drought escaping"
MAIZE,"74. Simba
61","Simb
a 61",2003,"AgriSeed
Co Ltd","SEEDCO
Zambia",1800,4.5,7-10," Tolerant to MSV and
GLS"
MAIZE,"75. DK
8071","DK
8071",2003,"Monsant
o",Monsanto,1500-1700,5,6-9, Flint grain
MAIZE,"76. DK
8031","DK
8031",2003,"Monsant
o",Monsanto,900-1700,4 - 4.7,6-8, GLS tolerant
MAIZE,"77. KSH62
14","KSH6
214",2004,"Kenya
Seed
Company","Kenya Seed
Company",1600-2100,6-7,9-12," Tolerance to GLS, leaf
blight
 Lodging resistant
 Early maturing"
MAIZE,"78. KSH62
4","KSH6
24",2004,"Kenya
Seed
Company","Kenya Seed
Company",1500-1800,5-6,8-11," Tolerance to GLS, leaf
blight, rust"
MAIZE,79. DH 10,"DH
10",2004,"Kenya
Seed
Company","Kenya Seed
Company",800-1400,3-4,5-6," Resistant to rust, ear
rot and lodging
 Good husk cover
 Short stature"
MAIZE,80. DH 09,"DH
09",2004,"Kenya
Seed
Company","Kenya Seed
Company",1000-1500,3-4,3-5," Resistant to root and
stalk lodging
 Good husk cover"
MAIZE,"81. PAN
15","PAN
15",2004,"Pannar
Seed
Company","Pannar Seed
Company",800-1800,4-5,4-6," Resistant to blight,
rust, MSV, GLS
 Good husk cover and
standability"
MAIZE,"82. KH500
-34A","KH50
0-
34A",2004,KARI,"KARI
Muguga",1300-1800,5-6,6-8," Early maturing
 Resistant to rust,
MSV, blight"
MAIZE,"83. KK
SYN-1","KK
SYN-
1",2004,KARI,KARI,1500-1800,3-4,4-5," Wide adaptability
 Responsive to low
input environment
 Resistant to MSV"
MAIZE,"84. SC
Duma
41","SC
Dum
a 41",2004,"AgriSeed
Co Ltd","SEEDCO
Zambia",800-1800,4-5,6-7," Resistant to ear rot,
rust, MSV, mottle
virus, drought
 Early maturity"
MAIZE,"85. SC
Duma
43","SC
Dum
a 43",2004,"AgriSeed
Co Ltd","SEEDCO
Zambia",800-1800,4-5,6-7," Resistant to ear rot,
rust, MSV, drought
 Early maturity"
MAIZE,86. FICA 4,"FICA
4",2004,"FICA
seeds",FICA seeds,800-1800,4-5,6-7," Resistant to, rust,
MSV, GLS, blight
 Good husk cover,
drought
 Striga tolerant"
MAIZE,"87. DKC
80-53","DKC
80-
53",2004,"Monsant
o (K) Ltd","Monsanto
(K) Ltd",900-1700,4-5,5-8," Tolerance to GLS,
MSV
 Good standability
 Wide adaptability,
Prolific"
MAIZE,"88. DKC
80-73","DKC
80-
73",2004,"Monsant
o (K) Ltd","Monsanto
(K) Ltd",1500-1700,5-6,7-10," Tolerance to GLS,
MSVt, Diplodia
 Good husk cover"
MAIZE,"89. DKC
80-33","DKC
80-
33",2004,"Monsant
o (K) Ltd","Monsanto
(K) Ltd",900-1700,5-6,6-8," Resistant to GLS
 Good standability"
MAIZE,"90. WS
202","WS
202",2004,"Western
Seed
Company","Western
Seed
Company",0-1500,3-4,3-5," Resistant to MSV,
drought, low soil
nitrogen"
MAIZE,"91. KH500
-21A","KH50
0-
21A",2004,KARI,"KARI
Muguga",1600-2000,5-6,7-8," Good standability,
Husk cover
 Resistant to MSV,
head smut
 Early maturing"
MAIZE,"92. KH500
-31A","KH50
0-
31A",2004,KARI,"KARI
Muguga",1800-2100,6-7,6-7," Resistant to, rust,
MSV, blight
 Stays green (for
fodder)"
MAIZE,"93. KH500
-32A","KH50
0-
32A",2004,KARI,"KARI
Muguga",1300-1800,5-6,6-8," Resistant to blight,
rust, MSV"
MAIZE,"94. KH500
-33A","KH50
0-
33A",2004,KARI,"KARI
Muguga",1400-1800,5-6,7, Resistant to blight
MAIZE,"95. KK
SYN-2","KK
SYN-
2",2004,KARI,KARI,1500-1800,3-4,5-6," Wide adaptability
 Responsive to low
input environment
 Resistant to MSV"
MAIZE,"96. KH
631Q","KH
631Q",2004,KARI,KARI,1000-1500,4-5,5-7," Quality protein maize
 Good husk cover
 Resistant to GLS, ear
rot, rust, blight"
MAIZE,"97. EMB
204","EMB
204",2004,KARI,KARI,1000-1500,5-6,7-8," Quality protein maize
 Good husk cover
 Resistant to GLS, ear
rot, rust, blight"
MAIZE,"98. Ua
Kayon
go 1","Ua
Kayo
ngo 1",2004,KARI,"Western
Seed",1200-1600,4-5,4, Resistant to striga
MAIZE,"99. KH600
-20A","KH60
0-
20A",2005,KARI,KARI Kitale,1800-2300,5-6,8-9," Good standability
 Good resistance to
blight"
MAIZE,"100. PAN
4M-21","PAN
4M-
21",2005,"Pannar
Seed
(PTY) Ltd","Pannar Seed
(PTY) Ltd",1000-1500,3-4,4-5," Drought tolerant
 Flint grain
 Good husk cover
 Double cobber"
MAIZE,"101. SC
Punda
Milia
53","SC
Pund
a
Milia
53",2005,"AgriSeed
Co Ltd","SEEDCO
Zambia",1800-1900,5-6,8-13," Good standability,
Tolerant to grey leaf
spot
 Tolerant to maize
streak virus"
MAIZE,"102. SC
Simba
63","SC
Simb
a 63",2005,"AgriSeed
Co Ltd","SEEDCO
Zambia",1200-1800,4-5,5-10," Drought tolerant,
Tolerant to grey leaf
spot, MSV, blight and
ear rot"
MAIZE,"103. PHB
30G19","PHB
30G1
9",2006,"Pioneer
Hi-Bred
Seeds","Pioneer Hi-
Bred Seeds",1000-1800,5-6,8-10," Resistant to grey leaf
spot
 Low ear placement
 Good husk cover and
standability
 Lodging resistant"
MAIZE,"104. PHB
30V53","PHB
30V5
3",2006,"Pioneer
Hi-Bred
Seeds","Pioneer Hi-
Bred Seeds",1200-2000,5-6,8-11," Resistant to grey leaf
spot
 Tolerant to maize
streak virus
 Low ear placement
 Good husk cover"
MAIZE,"105. SC
Temb
o 73","SC
Tem
bo 73",2006,"AgriSeed
Co Ltd","SEEDCO
Zambia",1800-1900,5-6,8-12," Good standability
 Tolerant to grey leaf
spot
 Tolerant to maize
streak virus"
MAIZE,"106. SC
Temb
o 71","SC
Tem
bo 71",2006,"AgriSeed
Co Ltd","SEEDCO
Zambia",1800-1900,5-5.5,8-13," Tolerant to GLS &
MSV
 Good standability"
MAIZE,"107. SC
Punda
Milia
51","SC
Pund
a
Milia
51",2006,"AgriSeed
Co Ltd","SEEDCO
Zambia",800-1600,4-4.5,6-8," Tolerant to GLS &
MSV
 Good standability
 Wide adaptability"
MAIZE,"108. WH
602","WH
602",2006,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"110. WH
401","WH
401",2006,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"111. WH
402","WH
402",2006,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"112. WH
507","WH
507",2006,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"113. WH
508","WH
508",2006,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,114. DH 06,"DH
06",2007,"Kenya
Seed Co.","Kenya Seed
Co.",900-1500,3-4,4-6.5," Good standability
 Good husk cover"
MAIZE,115. DH 11,"DH
11",2007,,,,,,
MAIZE,116. DH 12,"DH
12",2007,"Kenya
Seed Co.","Kenya Seed
Co.",900-1400,3-4,4-6," Tolerant to blight and
rust
 Resistant to stalk
lodge"
MAIZE,"117. Ua
Kayon
go 2","Ua
Kayo
ngo 2",2007,KARI,KARI Embu,1000-1500,4-5,4.2," Tolerant to herbicide
for striga control, GLS
and MSV
 Drought tolerant
 Good ear placement"
MAIZE,"118. Ua
Kayon
go 3","Ua
Kayo
ngo 3",2007,KARI,KARI Embu,1000-1500,4-5,4.3," Tolerant to herbicide
for striga control, GLS
and MSV, root and
stalk lodging"
MAIZE,"119. EV042
71","EV04
271",2007,KARI,KARI,1500-2100,4-5,4.5," Resistant to rust
 Good standability"
MAIZE,120. PH 5,PH 5,2007,"Kenya
Seed Co.","Kenya Seed
Co.",0-1250,4-5,6-8," Resistant to lodging,
Ear rot and rust
 Good husk cover
 Good standability"
MAIZE,"121. WS30
3","WS3
03",2007,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"122. PAN
4M-19","PAN
4M-
19",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",900-1500,3-4,4-6," Flint ,Drought tolerant
 Prolific
 Early maturing
 Fast dry down
 Good standability"
MAIZE,"123. PAN
4M-17","PAN
4M-
17",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",900-1500,3-4,4-6," Flint
 Drought tolerant
 Early maturing"
MAIZE,"124. PAN
69","PAN
69",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",1200-1700,4-5,7-10," Wide adaptability
 Good standability
 Tolerant to leaf
diseases"
MAIZE,"125. PAN
57","PAN
57",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",1200-1700,4-5,6-8," Flint
 Tolerant to leaf
diseases"
MAIZE,"126. PAN
7M-97","PAN
7M-
97",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",1400-1700,4-5,7-10," Good standability
 Prolific"
MAIZE,"127. PAN
8M-91","PAN
8M-
91",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",1400-2000,5-6,8-10," Excellent GLS and rust
tolerance
 Good for silage
 Prolific"
MAIZE,"128. PAN
7M-89","PAN
7M-
89",2008,"Pannar
Seed
(PTY) Ltd","Pannar Seed
Co",1400-2000,5-6,8-10," Tolerant to leaf
diseases"
MAIZE,"129. KH500
-35E","KH50
0-
35E",2008,KARI,KARI,1200-1600,4-5,7," Resistant GLS, MSV,
rust & blight
 Staygreen
 Good stalk for animal
feed"
MAIZE,"130. KH500
-36E","KH50
0-
36E",2008,KARI,KARI,1200-1800,4-5,7," Resistant MSV, rust &
blight
 Flint"
MAIZE,"131. KH500
-37E","KH50
0-
37E",2008,KARI,KARI,1200-1800,4-5,8," Resistant MSV, rust &
blight"
MAIZE,"132. KH500
-39E","KH50
0-
39E",2008,KARI,KARI,1200-1800,4-5,8-9, Resistant GLS & blight
MAIZE,"133. KEMB
U 214","KEM
BU
214",2008,KARI,KARI,1200-1600,4-5,7," Tolerant to stem
borers"
MAIZE,"134. KH500
-40E","KH50
0-
40E",2008,KARI,KARI,1200-1800,4-5,7," Resistant to insect
 Tolerant to drought
and low N"
MAIZE,"135. MKH5
00-
44A","KH50
0-
44A",2008,KARI,KARI,1500-2100,4-5,6.95," Tolerant to MSV
 Early"
MAIZE,"136. KH500
-22A","KH50
0-
22A",2008,KARI,KARI,1200-2100,4-5,6.9," Tolerant to MSV
 Early"
MAIZE,"137. KH500
-43A","KH50
0-
43A",2008,KARI,KARI,1200-2100,4-5,6.5," Tolerant to MSV
 Double cobber
 High foliage (dual
purpose)"
MAIZE,"138. KK BS-
04","KK
BS-
04",2008,KARI,KARI,"All striga
infested
regions",4-5,5-5.5," Tolerant to striga,
drought & low N
 Resistant to rust &GLS
 Good standability"
MAIZE,"139. KDH4
SBR","KDH4
SBR",2008,KARI,KARI,,,5.15," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"140. KDH5
SBR","KDH5
SBR",2008,KARI,KARI,,,4.77," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"141. KDH6
SBR","KDH6
SBR",2008,KARI,KARI,,,5.06," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"142. KDH4
14-01
SBR","KDH4
14-
01
SBR",2008,KARI,KARI,,,5.15," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"143. KDH4
14-02
SBR","KDH4
14-
02
SBR",2008,KARI,KARI,,,4.77," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"144. KDH4
14-03
SBR","KDH4
14-
03
SBR",2008,KARI,KARI,,,5.06," Resistant to stem
borers
 Tolerant to drought &
low N"
MAIZE,"145. KH600
-23A","KH60
0-
23A",2008,KARI,KARI,1800-2500,5-6,"8.6-
14.8"," Resistant to GLS, rust
& blight
 Less lodging"
MAIZE,"146. KH600
-24A","KH60
0-
24A",2008,KARI,KARI,1800-2500,5-6,"8.6-
14.8"," Resistant to GLS, rust
& blight
 Less lodging"
MAIZE,"147. KH600
-24A","KH60
0-
24A",2008,KARI,KARI,1800-2500,5-6,"8.7-
14.9"," Resistant to GLS, rust
& blight
 Less lodging"
MAIZE,"148. KS-
DH14","KS-
DH14",2008,"Kenya
Seed Co.","Kenya Seed
Co.",800-1300,3.5 - 4.5,"5.0 -
6.5"," Drought tolerant
 Lodging resistant
 Stays green"
MAIZE,"149. KS-
H6216","KS-
H621
6",2008,"Kenya
Seed Co.","Kenya Seed
Co.",1500-2100,6-7,"8.0 –
9.5"," Lodging resistant
 Flint kernels"
MAIZE,"150. KS-
H524","KS-
H524",2008,"Kenya
Seed Co.","Kenya Seed
Co.",1200-1500,4-5,"7.5 -
8.5"," Resistant to rust
 GLS & ear rot"
MAIZE,"151. KS-
H6217","KS-
H621
7",2008,"Kenya
Seed Co.","Kenya Seed
Co.",1500-2100,6-7,"8.5 –
10"," Lodging resistant
 Flint kernels"
MAIZE,"152. KS-
DH13","KS-
DH13",2008,"Kenya
Seed Co.","Kenya Seed
Co.",800-1800,3.5 - 4.5,"4.5 –
7.6"," Good husk cover
 Drought tolerant
 Resistant to Ear rot,
GLS, blight & rust"
MAIZE,"153. KS-
H6502","KS-
H650
2",2008,"Kenya
Seed Co.","Kenya Seed
Co.",1300-1800,5-6,"7.5 –
9.0"," Resistant to rust,
Lodging resistant
 Tolerant to GLS &
blight"
MAIZE,"154. KS-
H6503","KS-
H650
3",2008,"Kenya
Seed Co.","Kenya Seed
Co.",1300-1800,5-6,"7.5 –
9.0"," Resistant to rust
 Lodging resistant
 Tolerant to GLS &
blight"
MAIZE,"155. PHB
30D79","PHB
30D7
9",2008,"Pioneer
Hi Bred
Seeds","Pioneer Hi
Bred Seeds",1000-1800,5-6,7-11," Good tolerance to
blight & MSV
 Resistant to GLS
 Strong stalks"
MAIZE,"156. WH00
2","WH0
02",2008,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"157. WS10
5","WS1
05",2008,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"158. WS20
2","WS2
02",2008,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"159. WH40
4","WH4
04",2008,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"162. WH40
5","WH4
05",2008,"Western
Seed Co.","Western
Seed Co.",,,,
MAIZE,"164. WH60
1","WH6
01",2009,"Western
Seed Co","Western
Seed Co",1500 – 2100,5 – 6,6-9," Tolerant to GLS &
blight
 Lodging resistant
 Good husk cover"
MAIZE,"165. WS20
4","WS2
04",2009,"Western
Seed Co","Western
Seed Co",800 – 1400,3-4,4,"t  Tolerant to GLS, MSV,
o blight, drought & Low
3 nitrogen
 Striga resistant"
MAIZE,"166. PAN
697","PAN
697",2010,"Pannar
Seed
(Kenya)
Ltd","Pannar Seed
(Kenya) Ltd",1500-2000,5-5.5,8-10," Tolerant to leaf
diseases especially
MSV
 Good husk cover
 Very attractive cobs"
MAIZE,"167. PAN
5M-35","PAN
5M-
35",2010,"Pannar
Seed
(Kenya)
Ltd","Pannar Seed
(Kenya) Ltd",1200-1700,4-4.5,7-8," Double cobber, Good
husk cover
 Flint
 Good on leaf diseases"
MAIZE,"168. PAN
63","PAN
63",2010,"Pannar
Seed
(Kenya)
Ltd","Pannar Seed
(Kenya) Ltd",1200-1700,4-4.5,7-8," Prolific
 Flint grained
 Excellent tolerance to
leaf diseases including
MSV
 Very good drought
tolerance and
adaptability
 Very hard grain"
