Crop,Variety name/code,Official Release Name,Year of release,Owner(s)/ Licensee,Maintainer and seedling source,Optimal production altitude (Masl),Duration to maturity (years),Green tea leaf yield (t ha-1 y- 1),Special attributes
TEA,"43. TRF
303/1199","TRF
303/1199",1989,TRFK,TRFK,1600-2300,3-4,3.4-5.1," Easy to pluck
good quality"
TEA,"44. AHP SC
20/13","AHP SC
20/13",1992,"AHP
Kericho",AHP Kericho,1100-2200,4,5-8," Moderately
drought tolerant
 Easy to pluck"
TEA,"45. AHP SC
31/37","AHP SC
31/37",1992,"AHP
Kericho",AHP Kericho,1100-2200,4,5-8," High yielding
 Tolerant to mites"
TEA,"46. TRF
303/178","TRF
303/178",1994,TRFK,TRFK,1600-2300,3-4,3.5-4.4, ND
TEA,"47. TRF
303/152","TRF
303/152",1994,TRFK,TRFK,1600-2300,3-4,3.1-3.8," Sprawling
branches"
TEA,"48. TRF
303/156","TRF
303/156",1994,TRFK,TRFK,1600-2300,3-4,3.3-4.5," Resistant to red
crevice mites"
TEA,"49. TRF
303/179","TRF
303/179",1994,TRFK,TRFK,1600-2300,3-4,3.0-5.7," Drought & mite
resistant"
TEA,"50. TRF
303/186","TRF
303/186",1994,TRFK,TRFK,1600-2300,3-4,3.0-4.0," Good recovery
from prune"
TEA,"51. AHP SKM
30/52","AHP SKM
30/52",1995,"AHP
Kericho",AHP Kericho,1100-2200,4,5-6," Drought tolerant
 Resistant to
mites"
TEA,"52. TRF
337/138","TRF
337/138",1995,TRFK,TRFK,1600-2300,3-4,3.0-4.2," Moderately
resistant to mites"
TEA,53. TRF 337/3,TRF 337/3,1995,TRFK,TRFK,1600-2300,3-4,3.0-4.2," Moderate
resistant to mites"
TEA,54. TRF 338/13,"TRF
338/13",1995,TRFK,TRFK,1600-2300,3-4,3.0-4.4," Drought tolerant
 Rapid field
establishment"
TEA,55. TRF 347/26,"TRF
347/26",1995,TRFK,TRFK,1600-2300,3-4,3.0-4.5," Drought tolerant
good quality"
TEA,"56. TRF
347/314","TRF
347/314",1995,TRFK,TRFK,1600-2300,3-4,3.0-4.5," Drought tolerant
good quality"
TEA,"57. AHP SC
11/1","AHP SC
11/1",1997,"AHP
Kericho",AHP Kericho,1100-2200,4,5-7, Drought tolerant
TEA,"58. AHP SC
11/9","AHP SC
11/9",1997,"AHP
Kericho",AHP Kericho,1100-2200,4,5-7, Drought tolerant
TEA,"59. GW
/EJULU-L","GW
/EJULU-L",2000,"George
Williamso
n Kenya","George
Williamson
Kenya",1600-2000,3-4,4.0-4.5," Very brisk thick
bright liquor"
TEA,60. TRF 301/4,TRF 301/4,2002,TRFK,TRFK,1600-2300,3-4,4.1-5.2," Drought tolerant
 Rich in caffeine"
TEA,61. TRF 301/5,TRF 301/5,2002,TRFK,TRFK,1600-2300,3-4,4.0-5.9, Drought tolerant
TEA,"62. TRFK
430/90","TRFK
430/90",2008,TRFK,TRFK,1500-2400,3-5,2," Drought tolerant
 High quality for
tea manufacture
& extraction of
polyphenols for
green tea
 Resistant to
mites and root
knot nematode
 Upright growth
habit ideal for
machine
harvesting"
TEA,63. TRFK 371/3,"TRFK
371/3",2008,TRFK,TRFK,1500-2400,3-5,2," Drought tolerant
 High quality for
tea manufacture
& extraction of
polyphenols for
green tea
 Resistant to
mites and root
knot nematode"
TEA,64. TRFK 306,TRFK 306,2011,TRFK,TRFK,"1600 -
2300",3-4,13 - 15," Anthocyanin-rich
(purple
pigmentation) –
medicinal tea
product
 Drought, frost,
disease and pest
resistant
 High content and
quality of tea
seed oil
 Wide adaptability
and suitable for
all designated tea
growing regions"
