Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Tuber yield (t ha-1),Special attributes
IRISH_POTATO,"15. 15.
EVORA",2015,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production.",3.5-4,46.4," Fresh market
variety
 Early maturing"
IRISH_POTATO,"16. PANAM
ERA",2015,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production.",4.5-5,59.2," Highly tolerant
to climatic stress
 Good Late blight
and scab
resistance
 Good dry matter
content
 Fresh market
variety"
IRISH_POTATO,17. RODEO,2015,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production.",4.5,49.6," Fresh market
variety with
good dry matter
content
 Moderate
resistance to
Common scab"
IRISH_POTATO,18. SIFRA,2015,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production.",4.5,49.5," Big size tubers
 Resistant to cyst
nematodes and
Wart disease
 Good resistance
to Common scab
 Good dry matter
content
 Fresh market
variety"
IRISH_POTATO,"19. VOYAGE
R",2015,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production.",4.5,49.5," Good yield
 Good late blight
resistance
 Suitable for fresh
market and
French Fries
 Good Common
scab resistance."
IRISH_POTATO,20. Farida,2018,"HZPC
Holland B.V.
The
Netherlands","HZPC
Holland B.V.
department
HZPC R&D,
The
Netherlands","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production",4,22," Variety is
suitable for fresh
market
 Has a good
consumption
quality
 Variety has a
good resistance
to Alternaria
Common scab
and Late Blight."
IRISH_POTATO,21. Rock,2018,C. Meijer BV,C. Meijer BV,"Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production",4,18," Resistance
toward wart
disease fysio 1,
G. rostochiensis
pathotype 1 and
pathotype 2/3,
Resistance
toward G. Pallida
fysio 2."
IRISH_POTATO,"22. Lady
Terra",2018,C. Meijer BV,C. Meijer BV,"Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production",4,23," Resistance
toward wart
disease fysio 1
and G.
rostochiensis
pathotype 1."
IRISH_POTATO,23. ZARINA,2018,"IPR B.V. The
Netherlands","IPR B.V.
Maintenance
in the field
and in-vitro","Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa and all
regions suitable
for potato
production",4,45," Variety is
suitable for fresh
market
 Has a good
consumption
quality
 Also suitable for
home & fries
 Variety has an
attractive skin
and regular
shape."
IRISH_POTATO,"24. Lady
Balfour",2019,"James
Hutton Ltd","Greenvale
AP","Altitude: 1800-
2600 masl,
Examples:
Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa,
Nyandarua and
Naivasha",3-4,53-74," Table variety;
grown as organic
in UK (low input
variety)
 Exceptional
vigour under low
fertility
 Highly resistant
to late blight,
powdery scab,
blackleg and
potato virus Y
 Moderately
drought tolerant"
IRISH_POTATO,25. Gemson,2019,"James
Hutton Ltd","Grampian
Growers","Altitude: 1800-
2600 masl,
Examples:
Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa,
Nyandarua and
Naivasha",3-4,42-48," Table, salad
variety
 Consistently
produces white
flesh tubers
 Resistant to
potato leafroll
virus and
blackleg"
IRISH_POTATO,26. Sorrento,2019,"James
Hutton Ltd","Greenvale
AP","Altitude: 1800-
2600 masl,
Examples:
Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa,
Nyandarua and
Naivasha",3-4,41-53," Table and
chipping variety
 Good resistance
to late blight and
powdery scab
 Moderately
drought tolerant"
IRISH_POTATO,27. Reiver,2019,"James
Hutton Ltd",SASA,"Altitude: 1800-
2600 masl,
Examples:
Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa,
Nyandarua and
Naivasha",3-4,46-49," Resistant to PCN
(G
rostochiensis),
and tuber
blemish diseases"
IRISH_POTATO,28. Cara,2019,"Irish Potato
Marketing","Irish Potato
Marketing","Altitude: 1800-
2600 masl,
Examples:
Timau, Tigoni,
Molo, Narok,
Bomet,
Timboroa,
Nyandarua and
Naivasha",3-4,47-64," All-rounder
including chips
 Resistant to PCN
(G
rostochiensis),
late blight,
blackleg and
potato virus Y
 Moderately
drought tolerant"
IRISH_POTATO,29. Java,2021,"Owner:
Teagasc,
Global
Licensee:
IPM Potato,
Group
Limited, Sub-
licensee,
Kenya:
Kirinyaga,
Seeds
Limited","SASA
Edinburgh,sc
otland , UK
Stokman
Rozen,Naiva
sha, Kenya","Altitude:1000 —
3000, m.a.s.1,
AEZ: UH 1-3, LH-
1-3, UM1-3,
Sites:
Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu,
Kirinyaga, West
Pokot, Trans
Nzoia, Bungoma,
Uasin Gishu,
Nyeri, Elgeyo-
Marakwet",3-4,40-50," Very high
resistance to
Phytophthora
 Suitable for
making
 Suitable for long
storage
 Resistant to
tuber blight,
foliage blight,
common"
IRISH_POTATO,30. Buffalo,2023,"Teagasc
Global
licensee:
IPM Potato
Group Ltd
Sub -licensee
Kenya:Kiriny
aga seeds
Ltd","SASA
Edinburgh,sc
otland , UK
Stokman
Rozen,Naiva
sha, Kenya","Altitude:
from1000 to
3000 masl. AEZ:
UH 1-3,UM 1-3,
LH 13.
Sites:Nyandarua,
Meru, Bomet,
Narok,Nakuru,Ke
richo,Laikipia,
Kiambu,
Kirinyaga, West
Pokot, Trans
nzoia, Bungoma,
Uasin Gishu,
Nyeri, Elgeyo-
Marakwet",3-4,30-50," Table market
variety with
large round
tubers and
attractive skin
finish
 Suitable for
cooking
 Good for storage"
IRISH_POTATO,"31. Maveric
k",2023,"Teagasc
Global
licensee:
IPM Potato
Group Ltd
Sub -licensee
Kenya:Kiriny
aga seeds
Ltd","SASA
Edinburgh,sc
otland , UK
Stokman
Rozen,Naiva
sha, Kenya","Altitude:
from1000 to
3000 masl. AEZ:
UH 1-3,UM 1-3,
LH 13.
Sites:Nyandarua,
Meru, Bomet,
Narok,Nakuru,Ke
richo,Laikipia,
Kiambu,
Kirinyaga, West
Pokot, Trans
nzoia, Bungoma,
Uasin Gishu,
Nyeri, Elgeyo-
Marakwet",3-4,30-50," Suitable for
french fries"
IRISH_POTATO,"32. CAYMA
N",2023,HZPC,HZPC,"Altitude: 1300-
3000 m.a.s.l
AEZ: UH1-3, LH1-
3,UM1-3
Sites:Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu, Uasin
Gishu,
Nyeri,Elgeyo-
Marakwet",3-4,50-80," Stable for french
fries and crips
(Dry matter
content of
21.5%)"
IRISH_POTATO,"33. ELDO
IP1",2023,"University of
Eldoret","University of
Eldoret","Altitude: from
2100 to 2700
masl.
AEZ: UH 1-3,UM
1-3, LH 13.
Sites:Marakwet,L
aikapia, and
Uasin Gishu
Counties",3-3.5,20-30," One month
dormancy
 White skin
 White flesh
 Early maturing
 Good for
chopping"
IRISH_POTATO,"34. ELDO
IP2",2023,"University of
Eldoret","University of
Eldoret","Altitude: from
2300 to 3000
masl.
AEZ: UH 1-3,UM
1-3, LH 13.
Sites:Marakwet,L
aikapia, and
Uasin Gishu
Counties",4-4.5,20-30," Long dormancy
 Deep red skin
 White flesh
 Good for table"
IRISH_POTATO,"35. SOLHY0
07",2024,"Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands
Doing
business as:
Solynta","Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands
Doing
business as:
Solynta","Altitude: 1300-
3000 m.a.s.l
AEZ: UH1-3, LH1-
3,UM1-3
Sites:Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu, Uasin
Gishu,
Nyeri,Elgeyo-
Marakwet",3-4,20-30," Delivered as
True Potato
Seeds
 Round- oval
potato with
yellow skin and
medium yellow
flesh that is well
suited for the
fresh market
 Shallow eyes
 Cooking type:
fairly- firm
 Dry matter: 18%"
IRISH_POTATO,"36. SOLYHY
012",2024,"Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands
Doing
business as:
Solynta","Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands","Altitude: 1300-
3000 m.a.s.l
AEZ: UH1-3, LH1-
3,UM1-3
Sites:Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu, Uasin
Gishu,
Nyeri,Elgeyo-
Marakwet",3-4,20-30," Delivered as
True Potato
Seeds
 Oval potato with
yellow skin and
yellow flesh that
is well suited for
the fresh market
 Shallow eyes
 Cooking type:
fairly- firm
 Dry matter: 20%"
IRISH_POTATO,"37. SOLHY0
15",2024,"Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands
Doing
business as:
Solynta","Agventure
BV,
Dreijenlaan
2, 6703
HA,Wagenin
gen, the
Netherlands
Doing
business as:
Solynta","Altitude: 1300-
3000 m.a.s.l
AEZ: UH1-3, LH1-
3,UM1-3
Sites:Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu, Uasin
Gishu,
Nyeri,Elgeyo-
Marakwet",3-4,30-40," Delivered as
True Potato
Seeds
 Highly resistant
to Late Blight
 Oval potato with
yellow skin and
medium yellow
flesh that is well
suited for the
fresh market
 Medium eyes
 Cooking type:
fairly- firm
 Dry matter: 20%"
IRISH_POTATO,"38. NAPOLE
ON",2024,Agrico U.A,"Agrico East
Africa Ltd.","Altitude: 1300-
3000 m.a.s.l
AEZ: UH1-3, LH1-
3,UM1-3
Sites:Nyandarua,
Meru, Bomet,
Narok, Nakuru,
Kericho, Laikipia,
Kiambu, Uasin
Gishu,
Nyeri,Elgeyo-
Marakwet",3.5-4,52-72," Processing:crisps
 High dry matter
24%
 Processing
quality also after
long storage
Strong canopy
 Round oval tuber
shape with
shallow eyes"
